Schaltschrank				
	Erweiterungsmodul  SM 1223,16DE/16DA , 6ES7223-1BL30-0XB0	E-SPS-S7-22-EM-16I-160-002	8198	246,4
	Erweiterungsmodul,  16 Dig-Eingänge, SM 1221DC	E-SPS-S7-22-EM-16I-001	8196	156
	Erweiterungsmodul,  8 Dig-Eingänge, SM 1221DC		8200	175
	Erweiterungsmodul  SM 1223,8DE/8DA , 6ES7223-1BH30-0XB0		8198	246,4
	Simatic S7-1500, CPU 1513-1 PN	E-SPS-S7-1500-CPU-1513-001	31451	1382,4
	Siemens S7-1500 16DI 3,2ms	E-SPS-S7-1500-EM-16I-001	23057	176
	Siemens S7-1500 16DO 0,5A	E-SPS-S7-1500-EM-16O-001	23058	163,2
	SiemensSIMATIC S7-300, FRONTST. für SIGNALBAUGRUPPEN MIT SCHRAUBK., 20-POLI	E-SPS-S7-3-ST-FSA-20-001	8212	19,68
	S7-1500 Powermodul 25W	E-SPS-S7-1500-PM-25	38609	177,6
	Siemens S7-1500 4AI 16bit	E-SPS-S7-1500-EM-4AI-001	23059	234,4
	Siemens ET 200SP/PN-PN kopl. Busadapter	E-SI-BA-RJ45-PN-001	8086	46,4
	Siemens S7-1500 Pofilschiene 530mm	E-SPS-S7-1500-PS-001	23060	30
	Siemens SIMATIC SD-CARD 4MB 6ES7954-8LC0	E-SPS-S7-3-MMC-2MB-001	8209	46,24
	Siemens ASI-Sicherheitsmonitor	E-ASI-SM-001	7124	302,09
	Siemens DP-ASI Link Doppelmaster für S7 300	E-ASI-DM-300-001		558,9
	Siemens ASI-Netzteil 230V/30V 3A	E-ASI-3A-230-30-001		146,37
	Siemens ASI-Eingangsmodul	E-ASI-EM-001	15267	30,12
	Siemens Asisafe-Modul Sichere Eingänge	E-ASI-EM-SE-001	15268	34,1
	Siemens Profibus DPV1 Modul für S7-1200	E-SPS-S7-1200-PRB-001	8189	356,7
	Siemens PN/PN Koppler 6ES7158-3AD10-0XA0	E-SPS-S7-KOP-002	27010	468,8
Touchpanel 				
	Siemens Touch Panel TP700 Comfort	E-BB-TP-TP700-TFT-001	7144	901,6
	Siemens Touch Panel TP700 ComfortOutdoor	E-BB-TP-TP700-TFT-002	45687	1238,3
	Siemens Touch Panel TP1200 Comfort 12"	E-BB-TP-TP1200-C-001	7142	1981,12
	Siemens Touch Panel TP1500 15"	E-BB-TP-TP1500-TFT-001	7143	2521,5
	Siemens Touch Panel TP900	E-BB-TP-TP900-001	41621	1386,7
Ethernet				
	Murr Ethernet-Switch TREE 8TX	E-SW-IE-8-RJ45-002	8442	101,48
	Wachendorff Antenne 2G-4G	E-A-M-EU-E-003	40515	53,01
	Wachendorff Antennenverlängerung für EU-	E-AV-M-EU-E-002	7127	50
	Wachendorff: Modem - Flexy 201, ab 1.1.2	E-M-EU-E-003	7651	600,78
	Wachendorff: Erweiterungskarte für stat.	E-M-EU-E-SA-001	7653	181,35
	Wachendorff Flexy LTE Modem Europa	E-M-EU-LTE-EUR-FLB3204	40512	250,17
	T-Mobile Telefonkarte Unisize HLR.221	E-M-EU-TK-001	7654	
Betriebstundenzähler				
	Bauser Betriebsstundenzähler 24VDC  666.6 UL	E-ZU-BZ-DC-24-002	8509	34,11
Hilfsschütz				
	Koppelrelais  Finder 2 WE, 24 V	E-KR-DC-024-2W-00-001	7505	2,98
	Finder LED Element mit Freilaufdiode 9980902499	E-KR-ZUB-LED-FLD-001	7508	2,51
	Sockel für Koppelrelais 2-Pol Finder	E-KR-ZUB-S-2P-BL-001	7509	3,87
	DILA-40 Hilfsschütz AC MOE , 24 VDC	E-SH-AC-024-4S-OOE-001	8082	18,94
Befehlselemente				
	Moeller Typ M22-DL-R Leuchtdrucktaster rot	E-BM-LD-RT-T-F-001	7165	6,174
	Moeller Typ M22-DL-W Leuchtdrucktaster weiß	E-BM-LD-WS-T-F-001	7166	6,6
	Befestigungsadapter Moeller M22 - A	E-BM-LZ-BA-002	7170	1,4193
	M22-LED-R Moeller LED-Element 10-30 V rot	E-BM-LZ-LED-024-RT-001	7171	5,401
	M22-LED-W Moeller LED-Element 10-30 V weiß	E-BM-LZ-LED-024-WSS-001	7173	6,325
	Wahltaste Moeller Typ M22-WR (Dreknopf 0,1)	E-BM-WS-DK-2-RT-002	7191	10,0003
	Moeller Typ M22-D-X Drucktaste	E-BM-WS-DT-2-T-002	7194	3,1753
	Tasterplatte Moeller Typ M22-XD-R-X0 "O" rot	E-BM-WS-TP-AUS-ROT-001	20542	1,3968
	Moeller Einzelschlüssel M22-ES-MS1	E-BM-WS-ES-MS01-001	7195	5,3092
	Schlüssel M22-ES-MS20	E-BM-WS-ES-MS20-001	7196	4,7638
	Schlüsseltaster mit Schließung MS20 M22-WRS3-MS20	E-BM-WS-SS-3-R-001	7199	35,3813
	Moeller Kodiereinsatz der Rast- / Tast-/ Schlüsselabziehbarkeit M22-XC-R	E-BM-WS-ZUB-KOD-002	20546	0,4158
	Moeller M22-K01 Kontaktelement, Frontbefestigung, 1 Öffner	E-BM-ZUB-KE-1OE-FB-001	7203	2,1383
	Moeller M22-K10 Kontaktelement Frontbefestigung 1 Schließer	E-BM-ZUB-KE-1S-FB-001	7208	2,1383
	Tastenzusatzschildträger Moeller M22S-ST-X	E-BM-ZUB-ST2-002	7212	0,4158
	Moeller Typ M22-R10K Potentiometer	E-EC-R-Pot-10-3-225-002	7250	32,9024
	Piezo-Summer mit Dauerton Type AC300	E-SG-PS-012-036-001	8080	14,7
Inst.-Kanal und Rohr				
	RKS-Kabelbahn 100 / 60 mm OBO	E-I-KR-B-R00-060-100-001	7414	12,43
	Kabelkanalabdeckung aus Stahlblech verzi	A1617	6165	16,1
	Wandausleger 200 mm  Herst.OBO Typ AW15/	E-I-A-W-210-001	7395	5,81
	Alusteckrohr ES 32	E-I-SR-ALU-M-0320-001	7477	4,5292
	Kabel- und Rohr - Abstandschelle Typ OBO 733/30-38; M32	E-I-AS-BL-M-032-001	7391	1,1856
	Flexa Kunststoffschlauch 0201.101.007 di7, PG 7	E-WS-PVC-0-007-010-001	8499	4,532
	Flexa Kunststoffschlauch Flex 0201.101.010 PG 9	E-WS-PVC-0-010-014-001	8500	4,25
	Flexa Kunststoffschlauch 0201.101.016 PG16	E-WS-PVC-0-016-021-001	8501	5,783
Kabel				
	Motorleitung			
	Steuerleitung			
	Verbisssichere Kabel (pauschaler Aufschlag * 3)			
	Induktiver Sensor M12, bündig einbaubar, SN=4 mm,	E-SIN-BB-04-M12-024D-ST-01	8114	12
	Ini Halter M12 H25, 85x30x2,5mm aus V2A	LT-09010-030-001-023-G	10291	3,19
	Ini Halter M12 H45, 103x30x2,5mm aus V2A	LT-09010-030-001-024-G	15771	2,13
	Ini Halter M12 H45, 103x30x2,5mm aus V2A	LT-09010-030-001-024-G	15771	2,13
	Steckverbinder M12 Buchse Winkel Schraub	E-ST-M12-04-BU-W-S-001	8371	6,07
	Murr Steckverbinder M12 Buchse Winkel mit 15m Leitung	E-ST-M12-04-BU-W-15M-001	8367	12,39
	Murr Steckverbinder M12 Buchse Winkel mit 30m Leitung	E-ST-M12-04-BU-W-30M-001	8368	12,98
	HELU OZ-500 3x0,75	E-L-PV-02-0075-O-002	7534	0,1895
	Steuerleitung Waflex JZ 4 x 1,5 , Auf Trommel	E-L-PV-04-0150-I-002	7546	0,3419
	leichte Steuerleitung gesch.,F-CY-JZ;4x1,5 auf Trommel	E-LS-PV-04-0150-3-002	7609	0,4614
	Steuerleitung Waflex JZ 4 x 2,5 ,  Auf Trommel	E-L-PV-04-0250-I-002	7551	0,488
	 Steuerleitung gesch.,F-CY-JZ;4x2,5mm² Trommel a´ 500m	E-LS-PV-04-0250-3-002	7612	0,7271
	Steuerleitung Waflex 4 x 4 JZ,  Ring a' 100m	E-L-PV-04-0400-J-001	7554	0,59
	leichte Steuerleitung gesch.,F-CY-JZ;4x4 Ring a´ 100m	E-LS-PV-04-0400-001	7613	1,0029
	Steuerleitung Waflex JZ 4 x 6 mm² ,	E-L-PV-04-0600-J-001	7556	0,86
	leichte Steuerleitung gesch.,F-CY-JZ;4x6 Ring a´ 100m		7615	1,7542
	Steuerleitung Waflex JZ 4 x 10 mm² ,  als Abschnitt 40m	E-L-PV-04-1000-I-001	15370	
	Steuerleitung gesch.,F-CY-JZ;4x10mm² Tro	E-LS-PV-04-1000-3-001	7618	2,424
	Steuerleitung Waflex JZ 5 x 0,75² , Auf Trommel	E-L-PV-05-0075-J-002	7563	0,275
	Steuerleitung Waflex JZ 7 x 0,75 Ø , Auf Trommel	E-L-PV-07-0075-J-002	7579	0,3791
	Netzwerkkabel RJ45 CAT5 0,25m	E-EDV-PK-025-002	29478	2,66
	Siemens Netzwerk-Leitung CAT5	E-ST-EL-CAT-002	29491	1,54
	RJ45 Steckverbinder 180 Grad	E-ST-RJ-SV-180-001	29480	8,54
	 Walther Buchseneinsatz 6-pol. 16A	E-ST-SSV-06-016-SBE-001	8395	5,59
	Walther Stifteinsatz 6 polig, 16A	E-ST-SSV-06-016-SSE-002	8396	5,46
	Walther Tüllengehäuse 6polig	E-ST-SSV-06-043-TG-001	8399	4,87
	Walther Sockelgehäuse 6-pol.	E-ST-SSV-06-016-KLV-001	8393	14,83
Reparaturschalter				
	Reparaturschalter mit Schirmblech 25 A A	E-RS-A-SW-3-025-002	19040	61,7998
	Reparaturschalter mit Schirmblech 32 A A	E-RS-A-SW-3-032-002	19041	77
	Reparaturschalter mit Schirmblech 63 A A	E-RS-A-SW-3-063-002	19042	83,04
	Hilfskontakte HI11-P1/P3/Z für Reparatur	E-MS-ZUB-RS-1S-1OE-001	7696	9,62
	Halter Reparaturschalter (244,5x190,0x12	09034-0090-000-002	4926	17,84
Kleinteile				
	Tragschiene gelocht NS 35 / 7,5 mm HKL	E-I-TS-HP-G-035-007-001	7490	4,34
	Tragschiene gelocht NS 35 / 15 mm Phoenix	E-I-TS-HP-G-035-015-001	7491	4,96
	Schrägbügel BG/S 35,4mm Phoenix	E-I-TS-ZUB-SB-354-001	7492	1,2139
	Verdrahtungskanal TEH BA6 80040 grau, 45x86 mm	E-I-VK-K-086-045-001	7498	9,68
	Verdrahtungskanal TEH BA 68008007030B grau, 87x86 mm	E-I-VK-K-086-087-001	7499	14,19
	Kabelverschraubung 4-8 mm, M16	E-I-ME-V-K-M16-001	7452	0,3326
	Kabelverschraubung 6-12 mm, M20	E-I-ME-V-K-M20-001	7453	0,4291
	Kabelverschraubung  M25	E-I-ME-V-K-M25-001	7454	0,2926
	Kabelverschraubung  M32	E-I-ME-V-K-M32-001	7455	1,0247
	Kabelverschraubung M50 Metall	E-I-ME-V-M-M50-001	7460	9,336
	Metallverschraubung M20 x 1,5 Perfect EMY 50.620M/EMV	E-I-ME-V-MV-20x15-001	7462	1,0476
	Moeller Schuko Steckdose für Hutschienenmontage Z-SD230	E-ST-SK-02-016-KH-SS-001	8384	6,69
	Schaltschrankdach B=1000mm	E-SS-SD-1000-002	29386	19,56
	Monoblock Hilfsschaltergehäuse 2S/2Ö m. Sprungf. DTE ZCKJ 2	E-BM-PS-ZUB-MB-2S-2OE-001	7178	36,04
	Metallkuppenstößel ZCK-E61	E-BM-PS-ZUB-MKS-001	7179	12,61
Klemmen				
	PHOENIX Reihenklemme blau 4², Typ ST4BU	E-V-RKL-ST-0060-BU-001	8455	0,5822
	PHOENIX Schutzleiterklemme 4² Typ ST4-PE	E-V-RKL-ST-0060-GG-001	8456	0,8705
	PHOENIX Reihenklemme grau 4², Typ ST4	E-V-RKL-ST-0060-GR-001	8458	0,5822
	PHOENIX Reihenklemme blau 10², Typ ST10B	E-V-RKL-ST-00100-BU-001	8454	1,3622
	PHOENIX Schutzleiterklemme 10² Typ ST10-	E-V-RKL-ST-0100-GG-001	8459	2,8513
	PHOENIX Reihenklemme grau 10², Typ ST10	E-V-RKL-ST-0100-GR-001	8460	1,4046
	PHOENIX Reihenklemme blau 16², Typ ST16B	E-V-RKL-ST-0160-BU-001	8461	1,6502
	PHOENIX Schutzleiterklemme 16² Typ ST16-	E-V-RKL-ST-0160-GG-001	8462	3,5631
	PHOENIX Reihenklemme grau 16², Typ ST16	E-V-RKL-ST-0160-GR-001	8463	1,734
	PHOENIX Reihenklemme blau 35², Typ ST35B	E-V-RKL-ST-0350-BU-001	8464	7,5591
	PHOENIX Schutzleiterklemme 35² Typ ST35-	E-V-RKL-ST-0350-GG-001	8465	11,1816
	PHOENIX Reihenklemme grau 35², Typ ST35	E-V-RKL-ST-0350-GR-001	8466	7,5591
	PHOENIX Reihenklemme Blau 50 ² UKH 50 BU PHO 3009105	E-V-RKL-DG-0500-BU-001	15529	
	PHOENIX Schutzleiterklemme 50² Typ USLKG 50	E-V-RKL-DG-0500-GG-001	15530	
	PHOENIX Durchgangsklemme 50² Typ UK-H-50	E-V-RKL-DG-0500-GR-001	15531	5,12
	PHOENIX Dreistockinitiatorklemme als Durchgangsklemme DIKD 1,5 2715979	E-V-RKL-DIKD-0015-001	8451	3,1937
	Phoenix Doppelstockklemme mit Schutzleiterfuß; SLKK5  0461018	E-V-RKL-DKSP-0040-001	15532	1,86
	PHOENIX Dreileiter Initiatorenklemme gra	E-V-RKL-STIO-0040-GR-001	8467	1,5351
	PHOENIX Doppelstock Zugfederklemme  2,5²	E-V-RKL-DSK-STTB-001	8453	1,1542
	Phönix Reihenendklemme E-UK	E-V-RKL-ZUB-EK-001	8476	0,4215
Funkfernbedienung				
	Funkfernbedienung Tele-Radio	E-EC-FF-TR-TN-001	7245	653,2
Signalsäule / Anlaufwarnung				
	Eltop  Warnleuchte L-Winkel für Alurohr	E-WL--LW-ALU-001	8491	4,49
	Eltop  Warnleuchte  Alurohr 300mm	E-WL-R-ALU-300-001	8497	9,73
	Eltop  Warnleuchte  LED Modul grün	E-WL-LED-M-G-24-001	8488	17,2
	Eltop  Warnleuchte  LED Modul orange	E-WL-LED-M-O-24-001	8489	17,2
	Eltop  Warnleuchte  LED Modul rot	E-WL-LED-M-R-24-001	8490	18,69
	Eltop  Warnleuchte  Akustik Modul	E-WL-AM-W-24-001	8480	26,81
	Schall/Blitzkombination 24V orange		57569	184,53
Klimagerät				
	RITTAL Wandanbau Kühlgerät 1500W 400-460 V-50/60Hz SK 3305 140	E-SS-ZUB-WAK-1500W-400V-001	8337	1921,24
